Artist,Song,Lyrics
Adele,Skyfall,"['This is the end', 'Hold your breath and count to ten', 'Feel the Earth move, and then', 'Hear my heart burst again', 'For this is the end', ""I've drowned and dreamt this moment"", 'So overdue, I owe them', ""Swept away, I'm stolen"", '[Chorus]', '[Chorus]', 'Let the sky fall when it crumbles', 'We will stand tall', 'Face it all together', 'Let the sky fall', 'When it crumbles', 'We will stand tall', 'Face it all together at Skyfall', 'At Skyfall', '[Verse 2]', '[Verse 2]', 'Skyfall is where we start', 'A thousand miles and poles apart', 'Where worlds collide and days are dark', 'You may have my number, you can take my name', ""But you'll never have my heart"", 'You might also like', 'Let the sky fall (Let the sky fall)', 'When it crumbles (When it crumbles)', 'We will stand tall (We will stand tall)', 'Face it all together', 'Let the sky fall (Let the sky fall)', 'When it crumbles (When it crumbles)', 'We will stand tall (We will stand tall)', 'Face it all together at Skyfall', '[Post-Chorus]', '[Post-Chorus]', 'Let the sky fall', 'When it crumbles', 'We will stand tall', 'Let the sky fall', 'When it crumbles', 'We will stand tall', '[Bridge]', '[Bridge]', 'Where you go I go', 'What you see I see', ""I know I'd never be me without the security"", 'Of your loving arms keeping me from harm', ""Put your hand in my hand and we'll stand"", '[Chorus]', '[Chorus]', 'Let the sky fall (Let the sky fall)', 'When it crumbles (When it crumbles)', 'We will stand tall (We will stand tall)', 'Face it all together', 'Let the sky fall (Let the sky fall)', 'When it crumbles (When it crumbles)', 'We will stand tall (We will stand tall)', 'Face it all together at Skyfall', '[Outro]', 'Let the sky fall', 'We will stand tall', 'At Skyfall', 'Ooh']"
The Weeknd,Save Your Tears,"['Ooh', 'Na-na, yeah', '[Verse 1]', '[Verse 1]', 'I saw you dancing in a crowded room (Uh)', ""You look so happy when I'm not with you"", 'But then you saw me, caught you by surprise', 'A single teardrop falling from your eye', '[Refrain]', '[Refrain]', ""I don't know why I run away"", 'I make you cry when I run away', '[Verse 2]', '[Verse 2]', ""You could've asked me why I broke your heart"", ""You could've told me that you fell apart"", ""But you walked past me like I wasn't there"", ""And just pretended like you didn't care"", '[Refrain]', '[Refrain]', ""I don't know why I run away"", 'I make you cry when I run away', '[Pre-Chorus]', '[Pre-Chorus]', ""Take me back 'cause I wanna stay"", 'Save your tears for another', 'See The Weeknd Live', 'Save your tears for another day', 'Save your tears for another day (So)', '[Verse 3]', '[Verse 3]', 'I made you think that I would always stay', 'I said some things that I should never say', 'Yeah, I broke your heart like someone did to mine', ""And now you won't love me for a second time"", '[Refrain]', '[Refrain]', ""I don't know why I run away, oh, girl"", 'Said, I make you cry when I run away', '[Pre-Chorus]', '[Pre-Chorus]', ""Girl, take me back 'cause I wanna stay"", 'Save your tears for another', ""I realize that I'm much too late"", 'And you deserve someone better', '[Chorus]', '[Chorus]', 'Save your tears for another day (Oh yeah)', 'Save your tears for another day (Yeah)', '[Refrain]', '[Refrain]', ""I don't know why I run away"", ""I'll make you cry when I run away"", '[Chorus]', 'Save your tears for another day', 'Ooh, girl, I said (Ah)', 'Save your tears for another day (Ah)', '[Outro]', '[Outro]', 'Save your tears for another day (Ah)', 'Save your tears for another day (Ah)']"
Harry Styles,Watermelon Sugar,"[""Tastes like strawberries on a summer evenin'"", 'And it sounds just like a song', ""I want more\u2005berries\u2005and that summer\u2005feelin'"", ""It's so wonderful and warm"", '[Pre-Chorus]', '[Pre-Chorus]', 'Breathe me\u2005in, breathe me out', ""I don't know if I could ever go without"", ""I'm just thinking out loud"", ""I don't know if I could ever go without"", '[Chorus]', '[Chorus]', 'Watermelon sugar high', 'Watermelon sugar high', 'Watermelon sugar high', 'Watermelon sugar high', 'Watermelon sugar', '[Verse 2]', '[Verse 2]', ""Strawberries on a summer evenin'"", ""Baby, you're the end of June"", ""I want your belly and that summer feelin'"", 'Getting washed away in you', '[Pre-Chorus]', '[Pre-Chorus]', 'Breathe me in, breathe me out', ""I don't know if I could ever go without"", 'You might also like', 'Watermelon sugar high', 'Watermelon sugar high', 'Watermelon sugar high', 'Watermelon sugar high', 'Watermelon sugar high', 'Watermelon sugar high', 'Watermelon sugar high', 'Watermelon sugar high', '[Post-Chorus]', '[Post-Chorus]', 'I just wanna taste it, I just wanna taste it', 'Watermelon sugar high', '[Bridge]', '[Bridge]', ""Tastes like strawberries on a summer evenin'"", 'And it sounds just like a song', ""I want your belly and that summer feelin'"", ""I don't know if I could ever go without"", '[Chorus]', '[Chorus]', 'Watermelon sugar high', 'Watermelon sugar high', 'Watermelon sugar high (Sugar)', 'Watermelon sugar high (Sugar)', 'Watermelon sugar high', 'Watermelon sugar high', 'Watermelon sugar high', 'Watermelon sugar high', '[Outro]', 'I just wanna taste it, I just wanna taste it (Eh-eh-eh)', 'Watermelon sugar high', 'I just wanna taste it, I just wanna taste it (Ooh, yeah)', 'Watermelon sugar high', 'Watermelon sugar']"
Doja Cat,Say So,"['Day to night to morning, keep with me in the moment', ""I'd let you had I\u2005known\u2005it, why don't\u2005you say so?"", ""Didn't even notice, no\u2005punches left to roll with"", 'You got to keep me focused; you want it? Say so', 'Day to night to morning, keep with me in the moment', ""I'd let you had I known it, why don't you say so?"", ""Didn't even notice, no punches left to roll with"", 'You got to keep me focused; you want it? Say so', '[Verse 1]', '[Verse 1]', ""It's been a long time since you fell in love"", ""You ain't coming out your shell, you ain't really been yourself"", 'Tell me, what must I do? (Do tell, my love)', ""'Cause luckily, I'm good at reading"", ""I wouldn't bug him, but he won't stop cheesin'"", 'And we can dance all day around it', ""If you frontin', I'll be bouncing"", 'If you want it, scream it, shout it, babe', 'Before I leave you dry', '[Chorus]', '[Chorus]', 'Day to night to morning, keep with me in the moment', ""I'd let you had I known it, why don't you say so?"", ""Didn't even notice, no punches left to roll with"", 'You got to keep me focused; you want it? Say so', 'Day to night to morning, keep with me in the moment', ""I'd let you had I known it, why don't you say so?"", ""Didn't even notice, no punches left to roll with"", 'You got to keep me focused; you want it? Say so (Yeah)', 'See Doja Cat Live', 'Let me check my chest, my breath right quick (Ha)', ""He ain't ever seen it in a dress like this (Ah)"", ""He ain't ever even been impressed like this"", 'Prolly why I got him quiet on the set like zip', 'Like it, love it, need it bad', 'Take it, own it, steal it fast', 'Boy, stop playing, grab my ass', ""Why you actin' like you shy? (Hot)"", ""Shut it, save it, keep it pushin'"", ""Why you beating 'round the bush?"", ""Knowin' you want all this woman"", ""Never knock it 'til you try (Yah, yah)"", 'All of them bitches hating I have you with me', ""All of my niggas sayin' you mad committed"", 'Realer than anybody you had, and pretty', 'All of the body-ody, the ass and titties', '[Chorus]', '[Chorus]', 'Day to night to morning, keep with me in the moment', ""I'd let you had I known it, why don't you say so?"", ""Didn't even notice, no punches left to roll with"", 'You got to keep me focused; you want it? Say so', 'Day to night to morning, keep with me in the moment', ""I'd let you had I known it, why don't you say so?"", ""Didn't even notice, no punches left to roll with"", 'You got to keep me focused; you want it? ', '[Outro]', 'Mm-hmm', 'Uh-huh, oh', 'Uh-huh, uh-huh, uh-huh', 'Mm-hmm', 'Uh-huh, oh', 'Uh-huh, uh-huh, uh-huh', '\n', '\n', '\n']"
Imagine Dragons,Thunder,"['Just a young gun with a quick fuse', 'I was uptight, wanna let loose', 'I was dreaming of bigger things', 'And wanna leave my own life behind', 'Not a ""Yes, sir,"" not a follower', 'Fit the box, fit the mold', 'Have a seat in the foyer, take a number', 'I was lightning before the thunder', '[Pre-Chorus]', '[Pre-Chorus]', 'Thunder, thunder', 'Thunder, thun-', 'Thunder, th-th-thunder, thunder', 'Thunder, thunder, thun-', 'Thunder, th-th-thunder, thunder', '[Chorus]', '[Chorus]', 'Thunder, feel the thunder ', 'Lightning then the thunder ', 'Thunder, feel the thunder ', 'Lightning then the thunder, thunder, thunder ', 'Thunder ', '[Verse 2]', '[Verse 2]', 'Kids were laughing in my classes', 'While I was scheming for the masses', 'Who do you think you are?', ""Dreaming 'bout being a big star"", 'They say, ""You\'re basic,"" they say, ""You\'re easy""', ""You're always riding in the backseat"", ""Now I'm smiling from the stage"", 'While you were clapping in the nosebleeds', 'You might also like', 'Thunder, thunder', 'Thunder, thun-', 'Thunder, th-th-thunder, thunder', 'Thunder, thunder, thun-', 'Thunder, th-th-thunder, thunder', '[Chorus]', '[Chorus]', 'Thunder, feel the thunder ', 'Lightning then the thunder ', 'Thunder, feel the thunder ', 'Lightning then the thunder, thunder, thunder ', 'Thunder ', '[Bridge]', '[Bridge]', 'Thunder, feel the thunder', 'Lightning then the thunder, thunder', '[Chorus]', '[Chorus]', 'Thunder, feel the thunder ', 'Lightning then the thunder, thunder ', 'Thunder, feel the thunder ', 'Lightning then the thunder, thunder ', 'Thunder, feel the thunder ', '(Never give up, never give up)', 'Lightning then the thunder, thunder ', '(Never give up on your dreams)', 'Thunder, feel the thunder ', '(Never give up, never give up)', 'Lightning then the thunder, thunder ', '(Never give up on your dreams)', '[Outro]', 'Thunder, thunder, thun-', 'Thunder, th-th-thunder, thunder', 'Thunder, thunder, thun-', 'Thunder, th-th-thunder, thunder', '(Woah-oh-ohh)', 'Thunder, thunder, thun-', 'Thunder, th-th-thunder, thunder', '(Woah-oh-ohh)', 'Thunder, thunder, thun-', 'Thunder, th-th-thunder, thunder']"
Ariana Grande,Positions,"['Heaven sent you to me', ""I'm just hopin’ I don't repeat history"", '[Pre-Chorus]', '[Pre-Chorus]', ""Boy, I'm tryna meet your mama on a Sunday"", 'Then make a lotta love on a Monday (Ah, ah)', 'Never need no (No), no one else, babe', ""’Cause I'll be"", '[Chorus]', '[Chorus]', ""Switchin' them positions for you"", ""Cookin' in the kitchen and I'm in the bedroom"", ""I'm in the Olympics, way I'm jumpin' through hoops"", 'Know my love infinite, nothin’ I wouldn’t do', ""That I won't do, switchin’ for you"", '[Verse 2]', '[Verse 2]', 'Perfect, perfect', ""You're too good to be true (You're too good to be true)"", ""But I get tired of runnin', fuck it"", ""Now, I’m runnin' with you (With you)"", '[Pre-Chorus]', '[Pre-Chorus]', ""Said, boy, I'm tryna meet your mama on a Sunday"", 'Then make a lotta love on a Monday (Ah, ah)', 'Never need no (No), no onе else, babe', ""'Causе I'll be"", 'You might also like', ""Switchin' them positions for you"", ""Cookin' in the kitchen and I'm in the bedroom"", ""I'm in the Olympics, way I'm jumpin' through hoops"", ""Know my love infinite, nothin' I wouldn't do"", ""That I won't do, switchin' for you"", ""Cookin' in the kitchen and I'm in the bedroom"", ""I'm in the Olympics, way I'm jumpin' through hoops"", ""Know my love infinite, nothin' I wouldn't do (Nothin')"", ""That I won't do, switchin' for you"", '[Bridge]', '[Bridge]', ""This some shit that I usually don't do (Yeah)"", 'But for you, I kinda, kinda want to (Mmm)', ""'Cause you're down for me and I'm down too (And I'm down too)"", ""Yeah, I'm down too"", ""Switchin' the positions for you"", ""This some shit that I (Yeah) usually don't do (Don't do)"", 'But for you, I kinda, kinda want to (Mmm)', ""'Cause you're down for me and I'm down too ('Cause you're down for me)"", '[Chorus]', '[Chorus]', ""Switchin' them positions for you"", ""Cookin' in the kitchen and I'm in the bedroom"", ""I'm in the Olympics, way I'm jumpin' through hoops (Jumpin', jumpin')"", ""Know my love infinite, nothin' I wouldn't do"", ""That I won't do, switchin' for you (Ooh woah)"", ""Cookin' in the kitchen and I'm in the bedroom"", ""I'm in the Olympics, way I'm jumpin' through hoops"", ""Know my love infinite, nothin' I wouldn't do (I wouldn't do)"", ""That I won't do, switchin' for you"", '[Outro]', 'Yeah', 'Ah, yeah', 'Ah (Ah), yeah', '\n', '\n']"
Justin Bieber,Yummy,"['Yeah, you got that yummy-yum', 'That yummy-yum, that yummy-yummy', 'Yeah, you got that yummy-yum', 'That yummy-yum, that yummy-yummy', 'Say\u2005the\u2005word, on my\u2005way', 'Yeah, babe, yeah, babe, yeah, babe', 'Any\u2005night, any day', 'Say the word, on my way', 'Yeah, babe, yeah, babe, yeah, babe', ""In the mornin' or the late"", 'Say the word, on my way', '[Verse 1]', '[Verse 1]', 'Bona fide stallion', ""Ain't in no stable, no, you stay on the run"", ""Ain't on the side, you're number one"", 'Yeah, every time I come around, you get it done', '[Pre-Chorus]', '[Pre-Chorus]', 'Fifty-fifty, love the way you split it', 'Hundred racks, help me spend it, babe', 'Light a match, get litty, babe', 'That jet set, watch the sunset kinda, yeah, yeah', ""Rollin' eyes back in my head, make my toes curl, yeah, yeah"", 'You might also like', 'Yeah, you got that yummy-yum', 'That yummy-yum, that yummy-yummy', 'Yeah, you got that yummy-yum', 'That yummy-yum, that yummy-yummy', 'Say the word, on my way', 'Yeah, babe, yeah, babe, yeah, babe', 'Any night, any day', 'Say the word, on my way', 'Yeah, babe, yeah, babe, yeah, babe', ""In the mornin' or the late"", 'Say the word, on my way', '[Verse 2]', '[Verse 2]', ""Standin' up, keep me on the rise"", ""Lost control of myself, I'm compromised"", ""You're incriminating, no disguise"", ""And you ain't never runnin' low on supplies"", '[Pre-Chorus]', '[Pre-Chorus]', 'Fifty-fifty, love the way you split it', 'Hundred racks, help me spend it, babe', 'Light a match, get litty, babe', 'That jet set, watch the sunset kinda, yeah, yeah', ""Rollin' eyes back in my head, make my toes curl, yeah, yeah"", '[Chorus]', 'Yeah, you got that yummy-yum', ""That yummy-yum, that yummy-yummy (You stay flexin' on me)"", 'Yeah, you got that yummy-yum (Yeah, yeah)', 'That yummy-yum, that yummy-yummy', 'Say the word, on my way', 'Yeah, babe, yeah, babe, yeah, babe (Yeah, babe)', 'Any night, any day', 'Say the word, on my way', 'Yeah, babe, yeah, babe, yeah, babe (Yeah, babe)', ""In the mornin' or the late"", 'Say the word, on my way', '[Bridge]', '[Bridge]', ""Hop in the Lambo', I'm on my way"", 'Drew House slippers on with a smile on my face', ""I'm elated that you are my lady"", 'You got the yum, yum, yum, yum', 'You got the yum, yum-yum, woah', 'Woah-ooh', '[Chorus]', '[Chorus]', 'Yeah, you got that yummy-yum', 'That yummy-yum, that yummy-yummy', 'Yeah, you got that yummy-yum', 'That yummy-yum, that yummy-yummy', 'Say the word, on my way', 'Yeah, babe, yeah, babe, yeah, babe (Yeah, babe)', 'Any night, any day', 'Say the word, on my way', 'Yeah, babe, yeah, babe, yeah, babe (Yeah, babe)', ""In the mornin' or the late"", 'Say the word, on my way']"
Taylor Swift,Cardigan,"['Vintage tee, brand new phone', 'High heels on cobblestones', 'When you are young, they assume you know\u2005nothing', 'Sequin\u2005smile, black lipstick', 'Sensual\u2005politics', 'When you are young, they assume\u2005you know nothing', '[Chorus]', '[Chorus]', 'But I knew you', ""Dancin' in your Levi's"", 'Drunk under a streetlight, I', 'I knew you', 'Hand under my sweatshirt', 'Baby, kiss it better, I', '[Refrain]', '[Refrain]', 'And when I felt like I was an old cardigan', ""Under someone's bed"", 'You put me on and said I was your favorite', '[Verse 2]', '[Verse 2]', 'A friend to all is a friend to none', 'Chase two girls, lose the one', 'When you are young, they assume you know nothing', 'See Taylor Swift Live', 'But I knew you', 'Playing hide-and-seek and', 'Giving me your weekends, I', 'I knew you', 'Your heartbeat on the High Line', 'Once in twenty lifetimes, I', '[Refrain]', '[Refrain]', 'And when I felt like I was an old cardigan', ""Under someone's bed"", 'You put me on and said I was your favorite', '[Bridge]', '[Bridge]', 'To kiss in cars and downtown bars', 'Was all we needed', 'You drew stars around my scars', ""But now I'm bleedin'"", '[Chorus]', '[Chorus]', ""'Cause I knew you"", ""Steppin' on the last train"", 'Marked me like a bloodstain, I', 'I knew you', 'Tried to change the ending', 'Peter losing Wendy, I', 'I knew you', ""Leavin' like a father"", 'Running like water, I', 'And when you are young, they assume you know nothing', '[Verse 3]', ""But I knew you'd linger like a tattoo kiss"", ""I knew you'd haunt all of my what-ifs"", 'The smell of smoke would hang around this long', ""'Cause I knew everything when I was young"", ""I knew I'd curse you for the longest time"", ""Chasin' shadows in the grocery line"", ""I knew you'd miss me once the thrill expired"", ""And you'd be standin' in my front porch light"", ""And I knew you'd come back to me"", ""You'd come back to me"", ""And you'd come back to me"", ""And you'd come back"", '[Refrain]', '[Refrain]', 'And when I felt like I was an old cardigan', ""Under someone's bed"", 'You put me on and said I was your favorite']"
Billie Eilish,Everything I Wanted,"['I had a dream', 'I got everything I wanted', ""Not what you'd think"", ""And if I'm bein' honest"", ""It\u2005might've\u2005been a nightmare"", 'To\u2005anyone who might care', 'Thought I could\u2005fly (Fly)', 'So I stepped off the Golden, mm', 'Nobody cried (Cried, cried, cried, cried)', 'Nobody even noticed', 'I saw them standing right there', 'Kinda thought they might care (Might care, might care)', '[Pre-Chorus]', '[Pre-Chorus]', 'I had a dream', 'I got everything I wanted', 'But when I wake up, I see', 'You with me', '[Chorus]', '[Chorus]', 'And you say, ""As long as I\'m here, no one can hurt you', ""Don't wanna lie here, but you can learn to"", 'If I could change the way that you see yourself', ""You wouldn't wonder why you hear"", '\'They don\'t deserve you\'""', 'You might also like', 'I tried to scream', 'But my head was underwater', 'They called me weak', ""Like I'm not just somebody's daughter"", 'Coulda been a nightmare', 'But it felt like they were right there', 'And it feels like yesterday was a year ago', ""But I don't wanna let anybody know"", ""'Cause everybody wants something from me now"", ""And I don't wanna let 'em down"", '[Pre-Chorus]', '[Pre-Chorus]', 'I had a dream', 'I got everything I wanted', 'But when I wake up, I see', 'You with me', '[Chorus]', '[Chorus]', 'And you say, ""As long as I\'m here, no one can hurt you', ""Don't wanna lie here, but you can learn to"", 'If I could change the way that you see yourself', ""You wouldn't wonder why you hear"", '\'They don\'t deserve you\'""', '[Outro]', '[Outro]', 'If I knew it all then, would I do it again?', 'Would I do it again?', 'If they knew what they said would go straight to my head', 'What would they say instead?', 'If I knew it all then, would I do it again?', 'Would I do it again?', 'If they knew what they said would go straight to my head', 'What would they say instead?']"
Post Malone,Sunflower,"['Ayy, ayy, ayy, ayy (Ooh)', 'Ooh, ooh, ooh, ooh (Ooh)', 'Ayy, ayy', 'Ooh, ooh, ooh, ooh', '[Verse 1: Swae Lee]', '[Verse 1: Swae Lee]', 'Needless to say, I keep in check', 'She was a bad-bad, nevertheless (Yeah)', ""Callin' it quits now, baby, I'm a wreck (Wreck)"", ""Crash at my place, baby, you're a wreck (Wreck)"", ""Needless to say, I'm keeping in check"", 'She was a bad-bad, nevertheless', ""Callin' it quits now, baby, I'm a wreck"", ""Crash at my place, baby, you're a wreck"", ""Thinkin' in a bad way, losin' your grip"", ""Screamin' at my face, baby, don't trip"", ""Someone took a big L, don't know how that felt"", ""Lookin' at you sideways, party on tilt"", ""Ooh-ooh, some things you just can't refuse"", ""She wanna ride me like a cruise and I'm not tryna lose"", '[Chorus: Swae Lee]', '[Chorus: Swae Lee]', ""Then you're left in the dust, unless I stuck by ya"", ""You're a sunflower, I think your love would be too much"", ""Or you'll be left in the dust, unless I stuck by ya"", ""You're the sunflower, you're the sunflower"", 'You might also like', ""Every time I'm leavin' on ya (Ooh)"", ""You don't make it easy, no (No, no)"", 'Wish I could be there for ya (Ooh)', 'Give me a reason to, oh (Oh)', ""Every time I'm walkin' out (Oh)"", ""I can hear you tellin' me to turn around (Oh, oh)"", ""Fightin' for my trust and you won't back down (No)"", 'Even if we gotta risk it all right now, oh (Now)', ""I know you're scared of the unknown (Known)"", ""You don't wanna be alone (Alone)"", 'I know I always come and go (And go)', ""But it's out of my control"", '[Chorus: Post Malone]', '[Chorus: Post Malone]', ""And you'll be left in the dust, unless I stuck by ya"", ""You're the sunflower, I think your love would be too much"", ""Or you'll be left in the dust, unless I stuck by ya"", ""You're the sunflower, you're the sunflower (Yeah)""]"
